order_item_id,order_id,product_id,quantity,unit_price,discount_value,line_amount
OITEM-000000088,ORD-000000021,PROD-0000023,1,97.77,19.93,77.84
OITEM-000000089,ORD-000000021,PROD-0000025,2,252.89,0.0,505.78
OITEM-000000090,ORD-000000021,PROD-0000018,2,175.93,82.39,269.47
OITEM-000000091,ORD-000000022,PROD-0000022,2,168.34,112.5,224.18
OITEM-000000092,ORD-000000022,PROD-0000055,1,40.56,0.24,40.32
OITEM-000000093,ORD-000000022,PROD-0000071,2,198.84,137.85,259.83
OITEM-000000094,ORD-000000022,PROD-0000117,1,160.8,23.28,137.52
OITEM-000000095,ORD-000000023,PROD-0000020,1,148.74,58.2,90.54
OITEM-000000096,ORD-000000023,PROD-0000028,2,80.59,31.13,130.05
OITEM-000000097,ORD-000000023,PROD-0000064,1,300.58,35.1,265.48
OITEM-000000098,ORD-000000023,PROD-0000042,1,77.97,11.49,66.48
OITEM-000000099,ORD-000000024,PROD-0000011,2,387.38,225.97,548.79
OITEM-000000100,ORD-000000024,PROD-0000005,2,88.82,52.33,125.31
OITEM-000000101,ORD-000000024,PROD-0000007,1,201.45,54.0,147.45
OITEM-000000102,ORD-000000024,PROD-0000119,2,381.3,73.83,688.77
OITEM-000000103,ORD-000000024,PROD-0000063,2,141.39,43.07,239.71
OITEM-000000104,ORD-000000025,PROD-0000085,1,83.21,26.12,57.09
OITEM-000000105,ORD-000000025,PROD-0000079,2,427.29,129.68,724.9
OITEM-000000106,ORD-000000025,PROD-0000078,2,46.19,35.0,57.38
OITEM-000000107,ORD-000000025,PROD-0000088,2,192.88,184.55,201.21
OITEM-000000108,ORD-000000025,PROD-0000021,2,92.0,56.63,127.37
OITEM-000000109,ORD-000000026,PROD-0000029,1,47.11,2.22,44.89
OITEM-000000110,ORD-000000027,PROD-0000103,2,397.99,26.14,769.84
OITEM-000000111,ORD-000000027,PROD-0000105,2,157.64,33.21,282.07
OITEM-000000112,ORD-000000027,PROD-0000028,1,79.09,4.02,75.07
OITEM-000000113,ORD-000000027,PROD-0000094,2,241.32,68.21,414.43
OITEM-000000114,ORD-000000027,PROD-0000095,1,219.28,10.63,208.65
OITEM-000000115,ORD-000000028,PROD-0000116,2,204.67,34.51,374.83
OITEM-000000116,ORD-000000029,PROD-0000105,2,169.04,24.9,313.18
OITEM-000000117,ORD-000000029,PROD-0000118,2,194.72,2.71,386.73
OITEM-000000118,ORD-000000029,PROD-0000087,2,76.19,2.25,150.13
OITEM-000000119,ORD-000000029,PROD-0000071,1,181.24,23.41,157.83
OITEM-000000120,ORD-000000030,PROD-0000098,2,104.77,29.63,179.91
OITEM-000000121,ORD-000000030,PROD-0000082,1,102.02,6.32,95.7
OITEM-000000122,ORD-000000030,PROD-0000071,2,183.83,44.08,323.58
OITEM-000000123,ORD-000000030,PROD-0000003,1,193.7,18.94,174.76
OITEM-000000124,ORD-000000031,PROD-0000048,1,247.07,0.0,247.07
OITEM-000000125,ORD-000000031,PROD-0000056,1,160.35,22.76,137.59
OITEM-000000126,ORD-000000031,PROD-0000011,1,357.31,44.45,312.86
OITEM-000000127,ORD-000000032,PROD-0000060,2,100.69,6.07,195.31
OITEM-000000128,ORD-000000033,PROD-0000048,2,237.01,26.5,447.52
OITEM-000000129,ORD-000000034,PROD-0000086,2,136.85,17.49,256.21
OITEM-000000130,ORD-000000034,PROD-0000113,1,37.07,2.55,34.52
OITEM-000000131,ORD-000000035,PROD-0000042,1,84.35,6.35,78.0
OITEM-000000132,ORD-000000035,PROD-0000104,2,121.36,4.57,238.15
OITEM-000000133,ORD-000000035,PROD-0000083,2,244.44,41.86,447.02
OITEM-000000134,ORD-000000035,PROD-0000074,2,222.64,57.09,388.19
OITEM-000000135,ORD-000000036,PROD-0000059,2,104.55,18.37,190.73
OITEM-000000136,ORD-000000036,PROD-0000027,2,137.96,22.92,253.0
OITEM-000000137,ORD-000000036,PROD-0000034,2,189.69,71.02,308.36
OITEM-000000138,ORD-000000036,PROD-0000040,2,165.91,109.79,222.03
OITEM-000000139,ORD-000000036,PROD-0000001,1,115.23,15.62,99.61
OITEM-000000140,ORD-000000036,PROD-0000057,2,109.13,14.35,203.91
OITEM-000000141,ORD-000000036,PROD-0000022,2,169.44,68.75,270.13
OITEM-000000142,ORD-000000037,PROD-0000113,2,36.8,15.27,58.33
OITEM-000000143,ORD-000000037,PROD-0000061,2,191.35,7.11,375.59
OITEM-000000144,ORD-000000037,PROD-0000099,1,83.74,20.72,63.02
OITEM-000000145,ORD-000000037,PROD-0000067,1,184.57,20.71,163.86
OITEM-000000146,ORD-000000037,PROD-0000076,1,169.95,6.63,163.32
OITEM-000000147,ORD-000000037,PROD-0000100,1,103.1,27.61,75.49
OITEM-000000148,ORD-000000037,PROD-0000038,1,103.43,9.82,93.61
OITEM-000000149,ORD-000000038,PROD-0000008,2,142.32,68.47,216.17
OITEM-000000150,ORD-000000038,PROD-0000009,2,283.02,101.15,464.89
OITEM-000000151,ORD-000000038,PROD-0000026,2,307.48,106.79,508.17
OITEM-000000152,ORD-000000038,PROD-0000096,2,140.07,102.78,177.36
OITEM-000000153,ORD-000000038,PROD-0000104,1,136.75,10.03,126.72
OITEM-000000154,ORD-000000038,PROD-0000117,1,174.89,33.0,141.89
OITEM-000000155,ORD-000000038,PROD-0000036,2,148.22,15.79,280.65
OITEM-000000156,ORD-000000038,PROD-0000078,2,44.85,3.68,86.02
OITEM-000000157,ORD-000000039,PROD-0000120,2,130.53,22.57,238.49
OITEM-000000158,ORD-000000039,PROD-0000011,2,382.99,228.28,537.7
OITEM-000000159,ORD-000000039,PROD-0000031,2,205.1,8.87,401.33
OITEM-000000160,ORD-000000039,PROD-0000008,1,148.0,37.15,110.85
OITEM-000000161,ORD-000000039,PROD-0000001,2,110.76,23.95,197.57
OITEM-000000162,ORD-000000039,PROD-0000054,1,153.27,11.21,142.06
OITEM-000000163,ORD-000000039,PROD-0000055,2,41.75,16.34,67.16
OITEM-000000164,ORD-000000039,PROD-0000049,2,161.87,15.89,307.85
OITEM-000000165,ORD-000000040,PROD-0000093,1,93.48,5.24,88.24
OITEM-000000166,ORD-000000040,PROD-0000039,1,94.42,9.51,84.91
OITEM-000000167,ORD-000000040,PROD-0000069,1,122.82,40.95,81.87
OITEM-000000168,ORD-000000040,PROD-0000056,2,156.79,104.95,208.63
OITEM-000000169,ORD-000000040,PROD-0000108,1,288.18,20.77,267.41
OITEM-000000170,ORD-000000040,PROD-0000044,2,265.82,100.12,431.52
OITEM-000000171,ORD-000000041,PROD-0000046,1,340.16,0.0,340.16
OITEM-000000172,ORD-000000041,PROD-0000095,1,227.94,0.0,227.94
OITEM-000000173,ORD-000000041,PROD-0000108,1,310.28,3.77,306.51
OITEM-000000174,ORD-000000041,PROD-0000037,1,208.75,6.44,202.31
OITEM-000000175,ORD-000000041,PROD-0000052,2,131.22,24.79,237.65
OITEM-000000176,ORD-000000041,PROD-0000061,1,197.65,13.89,183.76
OITEM-000000177,ORD-000000041,PROD-0000082,1,102.71,7.63,95.08
OITEM-000000178,ORD-000000042,PROD-0000007,1,201.1,14.21,186.89
OITEM-000000179,ORD-000000042,PROD-0000119,1,403.42,38.52,364.9
OITEM-000000180,ORD-000000042,PROD-0000065,1,130.31,31.94,98.37
OITEM-000000181,ORD-000000042,PROD-0000027,1,127.35,13.11,114.24
OITEM-000000182,ORD-000000042,PROD-0000080,1,396.47,36.93,359.54
OITEM-000000183,ORD-000000042,PROD-0000006,1,281.99,32.5,249.49
OITEM-000000184,ORD-000000043,PROD-0000045,2,166.48,118.63,214.33
OITEM-000000185,ORD-000000043,PROD-0000021,2,93.96,23.53,164.39
OITEM-000000186,ORD-000000043,PROD-0000081,1,112.21,8.1,104.11
OITEM-000000187,ORD-000000043,PROD-0000050,1,115.72,14.1,101.62
OITEM-000000188,ORD-000000043,PROD-0000033,1,122.23,30.28,91.95
OITEM-000000189,ORD-000000043,PROD-0000035,1,186.94,31.3,155.64
OITEM-000000190,ORD-000000044,PROD-0000066,2,167.14,0.0,334.28
OITEM-000000191,ORD-000000045,PROD-0000106,1,126.1,4.89,121.21
OITEM-000000192,ORD-000000045,PROD-0000117,1,173.53,40.25,133.28
OITEM-000000193,ORD-000000046,PROD-0000029,2,49.95,26.44,73.46
OITEM-000000194,ORD-000000046,PROD-0000036,1,149.74,21.98,127.76
OITEM-000000195,ORD-000000046,PROD-0000082,2,105.09,46.71,163.47
OITEM-000000196,ORD-000000046,PROD-0000027,1,131.52,11.99,119.53
OITEM-000000197,ORD-000000046,PROD-0000041,2,85.66,28.44,142.88
OITEM-000000198,ORD-000000046,PROD-0000043,1,167.97,0.0,167.97
OITEM-000000199,ORD-000000046,PROD-0000014,2,150.42,39.05,261.79
OITEM-000000200,ORD-000000047,PROD-0000021,2,99.54,29.64,169.44
OITEM-000000201,ORD-000000047,PROD-0000026,1,304.75,67.76,236.99
OITEM-000000202,ORD-000000047,PROD-0000086,2,133.51,73.34,193.68
OITEM-000000203,ORD-000000048,PROD-0000024,2,183.1,2.77,363.43
OITEM-000000204,ORD-000000048,PROD-0000022,2,160.39,68.79,251.99
OITEM-000000205,ORD-000000048,PROD-0000056,1,158.91,29.04,129.87
OITEM-000000206,ORD-000000048,PROD-0000006,2,256.93,21.08,492.78
OITEM-000000207,ORD-000000049,PROD-0000065,2,118.2,22.31,214.09
OITEM-000000208,ORD-000000049,PROD-0000102,1,179.85,22.0,157.85
OITEM-000000209,ORD-000000049,PROD-0000055,2,44.17,11.92,76.42
OITEM-000000210,ORD-000000049,PROD-0000050,2,115.53,46.79,184.27
OITEM-000000211,ORD-000000049,PROD-0000002,1,112.59,14.83,97.76
OITEM-000000212,ORD-000000049,PROD-0000119,1,378.23,10.84,367.39
OITEM-000000213,ORD-000000049,PROD-0000092,2,321.68,72.7,570.66
OITEM-000000214,ORD-000000050,PROD-0000051,1,120.61,25.11,95.5
OITEM-000000215,ORD-000000050,PROD-0000120,1,124.63,1.76,122.87
OITEM-000000216,ORD-000000050,PROD-0000097,1,48.97,8.58,40.39
OITEM-000000217,ORD-000000050,PROD-0000019,2,284.15,0.0,568.3
OITEM-000000218,ORD-000000050,PROD-0000050,1,116.06,21.56,94.5
OITEM-000000219,ORD-000000051,PROD-0000092,1,329.37,60.06,269.31
OITEM-000000220,ORD-000000052,PROD-0000107,1,151.16,23.29,127.87
OITEM-000000221,ORD-000000052,PROD-0000088,2,194.85,104.8,284.9
OITEM-000000222,ORD-000000052,PROD-0000104,1,132.51,33.52,98.99
OITEM-000000223,ORD-000000052,PROD-0000061,1,204.16,18.7,185.46
OITEM-000000224,ORD-000000053,PROD-0000035,1,189.47,36.29,153.18
OITEM-000000225,ORD-000000053,PROD-0000016,2,203.44,111.23,295.65
OITEM-000000226,ORD-000000053,PROD-0000071,1,192.53,83.21,109.32
OITEM-000000227,ORD-000000053,PROD-0000086,1,123.69,34.74,88.95
OITEM-000000228,ORD-000000053,PROD-0000058,1,100.85,27.71,73.14
OITEM-000000229,ORD-000000053,PROD-0000089,2,101.1,69.64,132.56
OITEM-000000230,ORD-000000054,PROD-0000087,1,77.61,8.75,68.86
OITEM-000000231,ORD-000000054,PROD-0000075,1,185.46,30.27,155.19
OITEM-000000232,ORD-000000054,PROD-0000110,2,288.2,0.0,576.4
OITEM-000000233,ORD-000000054,PROD-0000023,1,106.68,30.34,76.34
OITEM-000000234,ORD-000000054,PROD-0000092,2,333.56,133.42,533.7
OITEM-000000235,ORD-000000054,PROD-0000053,2,161.74,64.81,258.67
OITEM-000000236,ORD-000000054,PROD-0000067,2,178.22,117.92,238.52
OITEM-000000237,ORD-000000054,PROD-0000120,1,123.93,25.98,97.95
OITEM-000000238,ORD-000000055,PROD-0000118,2,197.64,28.2,367.08
OITEM-000000239,ORD-000000055,PROD-0000100,2,99.91,71.03,128.79
OITEM-000000240,ORD-000000055,PROD-0000024,1,182.13,23.45,158.68
OITEM-000000241,ORD-000000056,PROD-0000088,2,191.4,137.3,245.5
OITEM-000000242,ORD-000000056,PROD-0000014,1,134.9,21.58,113.32
OITEM-000000243,ORD-000000056,PROD-0000074,1,250.94,32.71,218.23
OITEM-000000244,ORD-000000056,PROD-0000118,2,198.17,62.06,334.28
OITEM-000000245,ORD-000000056,PROD-0000031,1,197.77,25.89,171.88
OITEM-000000246,ORD-000000056,PROD-0000070,2,220.96,83.45,358.47
OITEM-000000247,ORD-000000056,PROD-0000113,1,38.77,12.02,26.75
OITEM-000000248,ORD-000000056,PROD-0000116,2,216.02,10.32,421.72
OITEM-000000249,ORD-000000057,PROD-0000047,2,67.48,11.85,123.11
OITEM-000000250,ORD-000000057,PROD-0000101,2,197.6,116.6,278.6
OITEM-000000251,ORD-000000057,PROD-0000037,2,216.91,29.56,404.26
OITEM-000000252,ORD-000000057,PROD-0000042,1,79.47,20.12,59.35
OITEM-000000253,ORD-000000057,PROD-0000118,2,189.59,73.88,305.3
OITEM-000000254,ORD-000000057,PROD-0000017,2,60.63,28.14,93.12
OITEM-000000255,ORD-000000057,PROD-0000110,1,281.95,64.91,217.04
OITEM-000000256,ORD-000000058,PROD-0000020,1,146.78,33.31,113.47
OITEM-000000257,ORD-000000058,PROD-0000075,1,174.09,11.27,162.82
OITEM-000000258,ORD-000000058,PROD-0000058,2,94.94,15.15,174.73
OITEM-000000259,ORD-000000058,PROD-0000033,2,117.1,17.38,216.82
OITEM-000000260,ORD-000000058,PROD-0000081,2,106.98,26.03,187.93
OITEM-000000261,ORD-000000058,PROD-0000062,2,60.6,0.0,121.2
OITEM-000000262,ORD-000000059,PROD-0000102,2,162.02,42.58,281.46
OITEM-000000263,ORD-000000059,PROD-0000041,2,84.13,35.48,132.78
OITEM-000000264,ORD-000000059,PROD-0000002,1,118.04,3.2,114.84
OITEM-000000265,ORD-000000059,PROD-0000115,2,325.24,21.07,629.41
OITEM-000000266,ORD-000000059,PROD-0000095,2,219.02,30.89,407.15
OITEM-000000267,ORD-000000060,PROD-0000063,1,150.04,1.84,148.2
OITEM-000000268,ORD-000000060,PROD-0000071,1,195.2,73.81,121.39
OITEM-000000269,ORD-000000061,PROD-0000021,2,100.51,17.0,184.02
OITEM-000000270,ORD-000000062,PROD-0000088,1,197.1,43.24,153.86
OITEM-000000271,ORD-000000062,PROD-0000113,2,36.62,13.5,59.74
OITEM-000000272,ORD-000000062,PROD-0000115,2,314.51,0.0,629.02
OITEM-000000273,ORD-000000062,PROD-0000028,2,81.43,7.4,155.46
OITEM-000000274,ORD-000000062,PROD-0000092,2,320.84,0.0,641.68
OITEM-000000275,ORD-000000062,PROD-0000082,2,100.16,17.53,182.79
OITEM-000000276,ORD-000000063,PROD-0000111,2,188.98,5.4,372.56
OITEM-000000277,ORD-000000063,PROD-0000054,2,160.65,42.04,279.26
OITEM-000000278,ORD-000000063,PROD-0000065,1,129.59,13.75,115.84
OITEM-000000279,ORD-000000063,PROD-0000084,1,114.44,13.83,100.61
OITEM-000000280,ORD-000000063,PROD-0000006,2,270.22,22.02,518.42
OITEM-000000281,ORD-000000064,PROD-0000007,1,206.5,38.23,168.27
OITEM-000000282,ORD-000000064,PROD-0000019,2,275.62,35.1,516.14
OITEM-000000283,ORD-000000064,PROD-0000012,2,218.59,60.68,376.5
OITEM-000000284,ORD-000000064,PROD-0000001,1,103.0,44.44,58.56
OITEM-000000285,ORD-000000065,PROD-0000097,2,46.91,26.14,67.68
OITEM-000000286,ORD-000000065,PROD-0000061,1,182.16,45.37,136.79
OITEM-000000287,ORD-000000065,PROD-0000051,2,122.93,46.06,199.8
OITEM-000000288,ORD-000000065,PROD-0000069,1,125.32,36.81,88.51
OITEM-000000289,ORD-000000065,PROD-0000091,1,232.57,48.73,183.84
OITEM-000000290,ORD-000000065,PROD-0000072,1,333.85,52.08,281.77
OITEM-000000291,ORD-000000066,PROD-0000041,1,85.94,18.89,67.05
OITEM-000000292,ORD-000000066,PROD-0000022,1,165.95,54.79,111.16
OITEM-000000293,ORD-000000066,PROD-0000068,1,196.14,33.98,162.16
OITEM-000000294,ORD-000000066,PROD-0000003,2,193.7,111.53,275.87
OITEM-000000295,ORD-000000066,PROD-0000075,2,180.06,61.21,298.91
OITEM-000000296,ORD-000000066,PROD-0000052,2,125.43,35.71,215.15
OITEM-000000297,ORD-000000067,PROD-0000107,2,137.09,92.71,181.47
OITEM-000000298,ORD-000000067,PROD-0000007,2,209.42,62.85,355.99
OITEM-000000299,ORD-000000067,PROD-0000116,1,218.56,17.72,200.84
OITEM-000000300,ORD-000000067,PROD-0000033,2,118.65,53.18,184.12
OITEM-000000301,ORD-000000067,PROD-0000030,1,190.33,41.57,148.76
OITEM-000000302,ORD-000000067,PROD-0000063,2,144.34,69.36,219.32
OITEM-000000303,ORD-000000067,PROD-0000053,1,158.4,18.17,140.23
OITEM-000000304,ORD-000000067,PROD-0000115,2,349.65,0.0,699.3
OITEM-000000305,ORD-000000068,PROD-0000088,1,212.43,36.71,175.72
OITEM-000000306,ORD-000000069,PROD-0000007,1,202.44,7.8,194.64
OITEM-000000307,ORD-000000069,PROD-0000074,1,246.04,14.94,231.1
OITEM-000000308,ORD-000000069,PROD-0000077,2,227.6,20.92,434.28
OITEM-000000309,ORD-000000069,PROD-0000041,1,81.39,5.88,75.51
OITEM-000000310,ORD-000000070,PROD-0000101,1,206.56,30.42,176.14
OITEM-000000311,ORD-000000070,PROD-0000002,1,113.36,7.03,106.33
OITEM-000000312,ORD-000000070,PROD-0000003,2,175.7,37.59,313.81
OITEM-000000313,ORD-000000070,PROD-0000050,2,116.92,26.33,207.51
OITEM-000000314,ORD-000000071,PROD-0000060,1,111.61,20.41,91.2
OITEM-000000315,ORD-000000071,PROD-0000013,1,175.77,35.65,140.12
OITEM-000000316,ORD-000000071,PROD-0000058,2,98.07,32.02,164.12
OITEM-000000317,ORD-000000071,PROD-0000008,1,149.4,25.08,124.32
OITEM-000000318,ORD-000000071,PROD-0000019,1,271.55,27.47,244.08
OITEM-000000319,ORD-000000071,PROD-0000069,1,121.14,30.75,90.39
OITEM-000000320,ORD-000000071,PROD-0000035,2,177.2,70.0,284.4
OITEM-000000321,ORD-000000071,PROD-0000018,2,195.36,27.72,363.0
OITEM-000000322,ORD-000000072,PROD-0000110,2,302.04,106.3,497.78
OITEM-000000323,ORD-000000072,PROD-0000012,2,230.51,111.78,349.24
OITEM-000000324,ORD-000000072,PROD-0000039,2,90.23,22.18,158.28
OITEM-000000325,ORD-000000072,PROD-0000082,2,95.51,43.93,147.09
OITEM-000000326,ORD-000000073,PROD-0000024,2,175.04,49.06,301.02
OITEM-000000327,ORD-000000073,PROD-0000057,2,104.1,41.35,166.85
OITEM-000000328,ORD-000000073,PROD-0000076,2,175.14,93.02,257.26
OITEM-000000329,ORD-000000073,PROD-0000064,1,310.96,57.02,253.94
OITEM-000000330,ORD-000000073,PROD-0000072,1,357.4,20.7,336.7
OITEM-000000331,ORD-000000073,PROD-0000102,2,180.22,61.64,298.8
OITEM-000000332,ORD-000000073,PROD-0000066,1,174.68,7.14,167.54
OITEM-000000333,ORD-000000074,PROD-0000067,1,184.13,40.18,143.95
OITEM-000000334,ORD-000000074,PROD-0000097,1,49.36,9.22,40.14
OITEM-000000335,ORD-000000074,PROD-0000100,2,101.65,47.54,155.76
OITEM-000000336,ORD-000000074,PROD-0000117,1,155.74,36.6,119.14
OITEM-000000337,ORD-000000074,PROD-0000040,1,163.02,86.0,77.02
OITEM-000000338,ORD-000000075,PROD-0000119,2,402.75,82.13,723.37
OITEM-000000339,ORD-000000076,PROD-0000003,1,188.01,45.84,142.17
OITEM-000000340,ORD-000000076,PROD-0000042,1,76.42,6.61,69.81
OITEM-000000341,ORD-000000076,PROD-0000054,1,147.43,12.68,134.75
OITEM-000000342,ORD-000000076,PROD-0000114,1,123.9,7.21,116.69
OITEM-000000343,ORD-000000077,PROD-0000111,2,206.13,51.76,360.5
OITEM-000000344,ORD-000000077,PROD-0000108,2,284.21,84.78,483.64
OITEM-000000345,ORD-000000077,PROD-0000013,1,193.68,35.98,157.7
OITEM-000000346,ORD-000000078,PROD-0000037,1,225.43,4.71,220.72
OITEM-000000347,ORD-000000078,PROD-0000090,2,123.27,0.0,246.54
OITEM-000000348,ORD-000000078,PROD-0000106,2,123.65,18.46,228.84
OITEM-000000349,ORD-000000079,PROD-0000003,2,191.94,34.77,349.11
OITEM-000000350,ORD-000000079,PROD-0000109,1,229.89,3.03,226.86
OITEM-000000351,ORD-000000079,PROD-0000005,2,91.37,30.7,152.04
OITEM-000000352,ORD-000000079,PROD-0000057,1,102.68,3.82,98.86
OITEM-000000353,ORD-000000079,PROD-0000001,2,105.25,29.02,181.48
OITEM-000000354,ORD-000000079,PROD-0000082,2,101.06,29.19,172.93
OITEM-000000355,ORD-000000079,PROD-0000039,1,90.14,8.2,81.94
OITEM-000000356,ORD-000000079,PROD-0000075,2,176.37,0.0,352.74
OITEM-000000357,ORD-000000080,PROD-0000078,1,47.25,7.33,39.92
