event_id,customer_id,event_date,event_type,device_type,session_duration,page_views,add_to_cart_flag,checkout_start_flag,purchase_flag
EVT-00000000026,CUST-0000002,2024-05-26,page_view,mobile,2.76,7,0,0,0
EVT-00000000027,CUST-0000002,2025-07-11,page_view,mobile,2.11,6,0,0,0
EVT-00000000028,CUST-0000002,2025-03-19,product_view,mobile,5.6,6,1,0,0
EVT-00000000029,CUST-0000002,2023-11-07,page_view,mobile,10.41,6,0,0,0
EVT-00000000030,CUST-0000002,2025-07-27,wishlist,mobile,6.84,3,0,0,0
EVT-00000000031,CUST-0000002,2023-09-14,product_view,tablet,6.65,2,1,1,1
EVT-00000000032,CUST-0000002,2025-02-12,checkout_start,mobile,8.96,7,1,1,1
EVT-00000000033,CUST-0000002,2023-12-05,app_open,mobile,12.2,8,0,0,0
EVT-00000000034,CUST-0000002,2024-09-23,product_view,desktop,7.0,3,0,0,0
EVT-00000000035,CUST-0000002,2024-10-25,checkout_start,mobile,5.25,7,1,1,1
EVT-00000000036,CUST-0000002,2023-05-23,checkout_start,mobile,7.3,8,1,1,0
EVT-00000000037,CUST-0000002,2024-10-05,page_view,mobile,8.33,3,0,0,0
EVT-00000000038,CUST-0000002,2025-11-14,page_view,mobile,10.03,7,0,0,0
EVT-00000000039,CUST-0000002,2025-07-05,checkout_start,desktop,4.3,13,1,1,1
EVT-00000000040,CUST-0000002,2025-12-16,page_view,mobile,5.21,9,0,0,0
EVT-00000000041,CUST-0000002,2025-04-24,product_view,mobile,11.73,7,0,0,0
EVT-00000000042,CUST-0000002,2024-12-12,wishlist,mobile,10.08,11,0,0,0
EVT-00000000043,CUST-0000002,2025-10-11,page_view,mobile,5.02,6,0,0,0
EVT-00000000044,CUST-0000002,2023-09-02,add_to_cart,desktop,5.65,5,1,1,0
EVT-00000000045,CUST-0000002,2024-03-14,page_view,mobile,3.61,2,1,0,0
EVT-00000000046,CUST-0000002,2023-07-16,page_view,mobile,2.64,1,0,0,0
EVT-00000000047,CUST-0000002,2023-08-28,product_view,mobile,5.95,6,0,0,0
EVT-00000000048,CUST-0000002,2023-07-07,product_view,mobile,4.11,7,0,0,0
EVT-00000000049,CUST-0000002,2024-02-17,product_view,mobile,6.97,7,0,0,0
EVT-00000000050,CUST-0000002,2024-06-04,product_view,mobile,14.56,2,1,1,1
EVT-00000000051,CUST-0000002,2024-07-01,add_to_cart,mobile,3.59,9,1,0,0
EVT-00000000052,CUST-0000002,2024-02-20,page_view,tablet,10.13,8,1,0,0
EVT-00000000053,CUST-0000002,2024-01-19,product_view,mobile,9.15,2,1,0,0
EVT-00000000054,CUST-0000002,2024-09-17,app_open,mobile,7.43,11,0,0,0
EVT-00000000055,CUST-0000002,2024-11-10,product_view,mobile,10.11,14,0,0,0
EVT-00000000056,CUST-0000003,2024-01-26,add_to_cart,mobile,6.52,11,1,0,0
EVT-00000000057,CUST-0000003,2025-11-08,page_view,mobile,0.71,5,0,0,0
EVT-00000000058,CUST-0000003,2024-07-21,product_view,mobile,5.39,7,0,0,0
EVT-00000000059,CUST-0000003,2024-05-15,wishlist,desktop,6.58,8,0,0,0
EVT-00000000060,CUST-0000003,2023-08-14,checkout_start,mobile,6.07,11,1,1,0
EVT-00000000061,CUST-0000003,2024-01-06,page_view,mobile,6.7,13,0,0,0
EVT-00000000062,CUST-0000003,2023-04-27,page_view,mobile,9.35,9,0,0,0
EVT-00000000063,CUST-0000003,2025-08-25,product_view,mobile,1.27,8,0,0,0
EVT-00000000064,CUST-0000003,2023-10-05,product_view,mobile,5.06,6,0,0,0
EVT-00000000065,CUST-0000003,2025-12-29,add_to_cart,desktop,4.77,9,1,0,0
EVT-00000000066,CUST-0000003,2024-07-18,wishlist,mobile,0.98,9,1,0,0
EVT-00000000067,CUST-0000003,2025-02-24,product_view,desktop,7.91,12,0,0,0
EVT-00000000068,CUST-0000003,2025-10-25,product_view,mobile,0.2,5,0,0,0
EVT-00000000069,CUST-0000003,2023-11-25,add_to_cart,mobile,3.35,11,1,1,0
EVT-00000000070,CUST-0000003,2023-07-10,page_view,desktop,6.64,2,0,0,0
EVT-00000000071,CUST-0000003,2023-07-07,checkout_start,mobile,7.38,4,1,1,0
EVT-00000000072,CUST-0000004,2024-08-03,page_view,desktop,2.97,9,0,0,0
EVT-00000000073,CUST-0000004,2024-09-28,page_view,tablet,2.94,1,0,0,0
EVT-00000000074,CUST-0000004,2023-05-19,campaign_click,desktop,0.71,3,0,0,0
EVT-00000000075,CUST-0000004,2023-12-12,product_view,mobile,5.53,5,0,0,0
EVT-00000000076,CUST-0000004,2025-08-19,app_open,mobile,2.02,8,1,0,0
EVT-00000000077,CUST-0000004,2023-04-04,page_view,desktop,3.9,5,0,0,0
EVT-00000000078,CUST-0000004,2023-02-12,add_to_cart,desktop,6.88,11,1,0,0
EVT-00000000079,CUST-0000004,2025-06-18,page_view,desktop,6.73,13,0,0,0
EVT-00000000080,CUST-0000004,2024-11-07,page_view,tablet,3.56,3,0,0,0
EVT-00000000081,CUST-0000004,2025-07-12,page_view,desktop,4.91,11,1,0,0
EVT-00000000082,CUST-0000004,2025-12-12,page_view,mobile,0.2,2,0,0,0
EVT-00000000083,CUST-0000004,2025-08-04,product_view,desktop,1.94,3,0,0,0
EVT-00000000084,CUST-0000004,2023-08-27,add_to_cart,desktop,2.72,10,1,1,0
EVT-00000000085,CUST-0000004,2024-07-09,page_view,mobile,4.78,7,0,0,0
EVT-00000000086,CUST-0000004,2024-03-15,app_open,tablet,4.64,4,0,0,0
EVT-00000000087,CUST-0000004,2023-12-10,product_view,desktop,0.74,6,0,0,0
EVT-00000000088,CUST-0000004,2023-06-27,wishlist,mobile,10.18,10,0,0,0
EVT-00000000089,CUST-0000004,2023-08-17,page_view,desktop,6.53,16,0,0,0
EVT-00000000090,CUST-0000004,2025-10-27,page_view,mobile,4.38,8,0,0,0
EVT-00000000091,CUST-0000004,2023-06-02,product_view,mobile,4.73,9,0,0,0
EVT-00000000092,CUST-0000005,2025-12-18,app_open,mobile,11.32,12,0,0,0
EVT-00000000093,CUST-0000005,2024-07-04,page_view,mobile,10.15,13,0,0,0
EVT-00000000094,CUST-0000005,2024-08-30,page_view,mobile,1.57,9,1,1,1
EVT-00000000095,CUST-0000005,2024-12-14,wishlist,mobile,4.27,3,0,0,0
EVT-00000000096,CUST-0000005,2024-05-29,product_view,tablet,6.38,3,0,0,0
EVT-00000000097,CUST-0000005,2025-11-15,wishlist,mobile,6.83,14,1,0,0
EVT-00000000098,CUST-0000005,2024-12-20,page_view,mobile,5.4,5,0,0,0
EVT-00000000099,CUST-0000005,2025-03-01,app_open,desktop,9.35,13,1,1,0
EVT-00000000100,CUST-0000005,2025-02-04,app_open,mobile,8.27,13,1,0,0
EVT-00000000101,CUST-0000005,2024-02-20,campaign_click,mobile,8.9,14,0,0,0
EVT-00000000102,CUST-0000005,2023-12-13,app_open,mobile,13.66,7,0,0,0
EVT-00000000103,CUST-0000005,2025-02-24,add_to_cart,mobile,7.21,11,1,0,0
EVT-00000000104,CUST-0000005,2024-12-12,checkout_start,mobile,11.87,5,1,1,1
EVT-00000000105,CUST-0000005,2024-11-11,product_view,mobile,12.72,5,0,0,0
EVT-00000000106,CUST-0000005,2024-04-09,app_open,desktop,6.96,1,0,0,0
EVT-00000000107,CUST-0000005,2024-01-25,add_to_cart,desktop,4.38,14,1,0,0
EVT-00000000108,CUST-0000005,2025-12-13,campaign_click,mobile,2.7,4,1,1,0
EVT-00000000109,CUST-0000005,2025-04-25,add_to_cart,mobile,4.68,8,1,1,0
EVT-00000000110,CUST-0000005,2025-07-02,product_view,mobile,6.85,8,1,1,1
EVT-00000000111,CUST-0000005,2023-10-08,page_view,mobile,3.43,7,0,0,0
EVT-00000000112,CUST-0000005,2024-04-26,campaign_click,mobile,9.47,10,0,0,0
EVT-00000000113,CUST-0000005,2025-06-19,wishlist,mobile,6.56,6,0,0,0
EVT-00000000114,CUST-0000005,2023-10-13,campaign_click,mobile,11.15,7,0,0,0
EVT-00000000115,CUST-0000005,2024-08-13,app_open,mobile,10.25,6,0,0,0
EVT-00000000116,CUST-0000005,2024-04-07,campaign_click,mobile,5.65,8,1,1,0
EVT-00000000117,CUST-0000005,2023-08-14,purchase,mobile,7.01,7,1,1,1
EVT-00000000118,CUST-0000005,2023-10-26,product_view,desktop,8.11,4,0,0,0
EVT-00000000119,CUST-0000005,2025-04-22,wishlist,mobile,6.81,6,0,0,0
EVT-00000000120,CUST-0000005,2024-02-12,product_view,mobile,10.46,11,0,0,0
EVT-00000000121,CUST-0000006,2025-09-18,page_view,mobile,1.84,2,0,0,0
EVT-00000000122,CUST-0000006,2025-03-07,add_to_cart,mobile,3.89,1,1,1,0
EVT-00000000123,CUST-0000006,2023-09-04,app_open,mobile,10.25,1,0,0,0
EVT-00000000124,CUST-0000006,2025-01-13,product_view,mobile,5.95,1,0,0,0
EVT-00000000125,CUST-0000006,2023-02-20,product_view,mobile,0.56,6,0,0,0
EVT-00000000126,CUST-0000006,2024-07-27,campaign_click,mobile,7.04,6,0,0,0
EVT-00000000127,CUST-0000006,2025-02-04,page_view,mobile,1.17,6,0,0,0
EVT-00000000128,CUST-0000006,2024-05-20,add_to_cart,mobile,6.4,1,1,0,0
EVT-00000000129,CUST-0000006,2023-06-02,checkout_start,mobile,7.6,7,1,1,0
EVT-00000000130,CUST-0000007,2024-06-22,page_view,mobile,10.22,9,0,0,0
EVT-00000000131,CUST-0000007,2024-12-13,page_view,mobile,6.15,4,0,0,0
EVT-00000000132,CUST-0000007,2024-12-14,product_view,mobile,0.2,6,0,0,0
EVT-00000000133,CUST-0000007,2023-10-15,add_to_cart,mobile,5.04,10,1,0,0
EVT-00000000134,CUST-0000007,2023-11-18,app_open,mobile,5.88,5,0,0,0
EVT-00000000135,CUST-0000007,2023-12-07,add_to_cart,mobile,5.84,3,1,1,0
EVT-00000000136,CUST-0000007,2023-04-12,page_view,mobile,7.05,6,0,0,0
EVT-00000000137,CUST-0000007,2025-05-22,add_to_cart,desktop,0.22,5,1,1,0
EVT-00000000138,CUST-0000007,2024-05-16,product_view,mobile,10.06,7,0,0,0
EVT-00000000139,CUST-0000007,2024-04-17,product_view,mobile,11.12,12,0,0,0
EVT-00000000140,CUST-0000007,2023-10-27,add_to_cart,mobile,3.98,18,1,0,0
EVT-00000000141,CUST-0000007,2024-06-25,purchase,mobile,4.58,16,1,1,1
EVT-00000000142,CUST-0000007,2024-06-05,product_view,desktop,6.67,3,0,0,0
EVT-00000000143,CUST-0000007,2023-03-29,wishlist,mobile,5.73,9,0,0,0
EVT-00000000144,CUST-0000008,2023-03-11,product_view,tablet,6.09,8,0,0,0
EVT-00000000145,CUST-0000008,2025-03-23,app_open,tablet,8.31,9,0,0,0
EVT-00000000146,CUST-0000008,2025-04-16,add_to_cart,mobile,6.96,3,1,0,0
EVT-00000000147,CUST-0000008,2024-05-25,app_open,mobile,2.53,7,1,1,0
EVT-00000000148,CUST-0000008,2025-10-28,app_open,desktop,8.21,5,0,0,0
EVT-00000000149,CUST-0000008,2023-02-18,checkout_start,mobile,2.22,10,1,1,0
EVT-00000000150,CUST-0000008,2024-01-05,app_open,mobile,3.6,11,0,0,0
EVT-00000000151,CUST-0000008,2023-01-07,checkout_start,mobile,2.81,1,1,1,0
EVT-00000000152,CUST-0000008,2023-12-26,product_view,mobile,0.95,6,0,0,0
EVT-00000000153,CUST-0000008,2024-05-28,page_view,mobile,5.72,1,0,0,0
EVT-00000000154,CUST-0000008,2024-11-08,add_to_cart,mobile,4.32,7,1,0,0
EVT-00000000155,CUST-0000008,2025-04-04,page_view,mobile,9.57,4,0,0,0
EVT-00000000156,CUST-0000008,2024-12-25,add_to_cart,mobile,4.57,7,1,0,0
EVT-00000000157,CUST-0000008,2024-08-14,product_view,desktop,6.69,10,0,0,0
EVT-00000000158,CUST-0000008,2023-10-10,product_view,desktop,4.51,6,0,0,0
EVT-00000000159,CUST-0000008,2023-01-24,app_open,mobile,0.79,10,0,0,0
EVT-00000000160,CUST-0000008,2024-05-16,wishlist,mobile,3.68,1,0,0,0
EVT-00000000161,CUST-0000008,2023-03-06,page_view,mobile,3.76,1,0,0,0
EVT-00000000162,CUST-0000009,2025-11-18,product_view,mobile,3.54,10,0,0,0
EVT-00000000163,CUST-0000009,2024-11-02,page_view,mobile,11.91,1,0,0,0
EVT-00000000164,CUST-0000009,2025-09-04,app_open,mobile,0.2,11,1,1,0
EVT-00000000165,CUST-0000009,2025-08-28,page_view,mobile,7.23,10,0,0,0
EVT-00000000166,CUST-0000009,2025-12-19,page_view,mobile,5.29,8,0,0,0
EVT-00000000167,CUST-0000009,2024-12-25,add_to_cart,mobile,6.45,4,1,0,0
EVT-00000000168,CUST-0000009,2024-10-27,add_to_cart,mobile,6.19,9,1,0,0
EVT-00000000169,CUST-0000009,2024-04-29,app_open,mobile,10.22,1,0,0,0
EVT-00000000170,CUST-0000009,2024-10-30,page_view,mobile,3.92,12,0,0,0
EVT-00000000171,CUST-0000009,2023-06-12,page_view,desktop,5.79,6,0,0,0
EVT-00000000172,CUST-0000009,2025-02-06,app_open,desktop,2.82,10,0,0,0
EVT-00000000173,CUST-0000009,2025-05-13,purchase,desktop,9.2,11,1,1,1
EVT-00000000174,CUST-0000009,2024-12-16,product_view,tablet,8.38,5,0,0,0
EVT-00000000175,CUST-0000009,2024-03-02,page_view,mobile,7.58,6,0,0,0
EVT-00000000176,CUST-0000009,2024-07-05,product_view,desktop,6.95,5,0,0,0
EVT-00000000177,CUST-0000009,2024-12-27,wishlist,mobile,3.07,10,0,0,0
EVT-00000000178,CUST-0000009,2025-10-20,page_view,desktop,8.09,8,0,0,0
EVT-00000000179,CUST-0000009,2024-04-12,page_view,desktop,8.57,3,0,0,0
EVT-00000000180,CUST-0000009,2024-03-26,page_view,desktop,8.68,6,0,0,0
EVT-00000000181,CUST-0000009,2024-01-06,wishlist,mobile,7.59,8,0,0,0
EVT-00000000182,CUST-0000009,2023-03-26,checkout_start,mobile,8.77,14,1,1,1
EVT-00000000183,CUST-0000009,2025-06-18,purchase,mobile,7.42,16,1,1,1
EVT-00000000184,CUST-0000009,2024-08-04,add_to_cart,mobile,10.33,7,1,1,1
EVT-00000000185,CUST-0000009,2023-06-03,page_view,mobile,7.08,5,0,0,0
EVT-00000000186,CUST-0000009,2025-04-29,add_to_cart,mobile,8.29,12,1,1,0
EVT-00000000187,CUST-0000009,2023-07-21,app_open,tablet,6.52,6,0,0,0
EVT-00000000188,CUST-0000009,2023-03-02,app_open,mobile,7.91,8,0,0,0
EVT-00000000189,CUST-0000009,2023-03-05,wishlist,desktop,4.81,13,1,0,0
EVT-00000000190,CUST-0000009,2024-01-12,page_view,mobile,8.55,9,0,0,0
EVT-00000000191,CUST-0000009,2025-01-04,checkout_start,mobile,5.46,12,1,1,1
EVT-00000000192,CUST-0000009,2023-03-29,wishlist,mobile,6.34,10,0,0,0
EVT-00000000193,CUST-0000009,2024-06-04,add_to_cart,mobile,11.3,4,1,0,0
EVT-00000000194,CUST-0000009,2024-05-09,app_open,mobile,12.32,1,0,0,0
EVT-00000000195,CUST-0000009,2024-08-20,campaign_click,mobile,11.86,6,1,1,1
EVT-00000000196,CUST-0000009,2024-02-01,add_to_cart,mobile,10.18,7,1,0,0
EVT-00000000197,CUST-0000009,2025-06-24,add_to_cart,mobile,6.68,8,1,1,0
EVT-00000000198,CUST-0000009,2023-08-01,product_view,mobile,5.26,12,0,0,0
EVT-00000000199,CUST-0000010,2024-09-13,product_view,mobile,11.63,5,0,0,0
EVT-00000000200,CUST-0000010,2025-02-01,add_to_cart,desktop,10.16,16,1,1,1
EVT-00000000201,CUST-0000010,2024-07-11,page_view,mobile,8.81,11,1,0,0
EVT-00000000202,CUST-0000010,2023-08-14,checkout_start,mobile,5.96,1,1,1,0
EVT-00000000203,CUST-0000010,2024-12-12,checkout_start,mobile,8.97,11,1,1,1
EVT-00000000204,CUST-0000010,2025-01-01,app_open,mobile,9.15,13,0,0,0
EVT-00000000205,CUST-0000010,2025-11-21,app_open,mobile,4.92,17,0,0,0
EVT-00000000206,CUST-0000010,2025-07-16,add_to_cart,mobile,3.7,3,1,1,0
EVT-00000000207,CUST-0000010,2024-09-12,add_to_cart,desktop,6.76,6,1,1,0
EVT-00000000208,CUST-0000010,2025-02-14,page_view,mobile,6.39,2,0,0,0
EVT-00000000209,CUST-0000010,2024-04-23,wishlist,desktop,10.81,13,1,0,0
EVT-00000000210,CUST-0000010,2025-05-05,product_view,mobile,5.55,7,1,0,0
EVT-00000000211,CUST-0000010,2025-04-07,purchase,mobile,8.06,13,1,1,1
EVT-00000000212,CUST-0000010,2025-04-23,product_view,mobile,7.58,1,1,1,1
EVT-00000000213,CUST-0000010,2024-02-20,page_view,mobile,7.65,5,1,1,0
EVT-00000000214,CUST-0000010,2024-07-31,product_view,desktop,4.83,20,0,0,0
EVT-00000000215,CUST-0000010,2025-02-18,add_to_cart,tablet,7.29,9,1,0,0
EVT-00000000216,CUST-0000010,2023-11-19,add_to_cart,mobile,11.87,9,1,1,0
EVT-00000000217,CUST-0000010,2024-12-07,app_open,mobile,13.18,10,0,0,0
EVT-00000000218,CUST-0000010,2025-12-11,app_open,desktop,5.4,8,0,0,0
EVT-00000000219,CUST-0000010,2023-03-27,page_view,mobile,10.97,5,0,0,0
EVT-00000000220,CUST-0000010,2025-03-04,product_view,mobile,6.75,10,1,0,0
EVT-00000000221,CUST-0000010,2023-02-24,product_view,desktop,7.57,14,0,0,0
EVT-00000000222,CUST-0000010,2024-09-17,wishlist,mobile,7.28,10,0,0,0
EVT-00000000223,CUST-0000010,2025-09-02,app_open,mobile,7.65,9,0,0,0
EVT-00000000224,CUST-0000010,2024-04-18,product_view,mobile,15.52,9,0,0,0
EVT-00000000225,CUST-0000010,2023-05-12,add_to_cart,mobile,10.76,10,1,0,0
EVT-00000000226,CUST-0000010,2025-06-19,page_view,desktop,8.29,11,0,0,0
EVT-00000000227,CUST-0000010,2023-04-23,page_view,mobile,6.59,12,0,0,0
EVT-00000000228,CUST-0000010,2023-10-17,app_open,mobile,7.88,10,1,0,0
EVT-00000000229,CUST-0000010,2023-07-24,wishlist,mobile,14.84,9,0,0,0
EVT-00000000230,CUST-0000010,2024-06-03,add_to_cart,desktop,11.0,8,1,1,0
EVT-00000000231,CUST-0000010,2023-08-04,product_view,mobile,9.01,6,0,0,0
EVT-00000000232,CUST-0000010,2024-11-07,page_view,mobile,9.24,9,0,0,0
EVT-00000000233,CUST-0000010,2024-07-17,checkout_start,mobile,9.04,9,1,1,1
EVT-00000000234,CUST-0000010,2024-10-02,app_open,desktop,7.88,1,1,0,0
EVT-00000000235,CUST-0000011,2023-03-28,product_view,mobile,6.74,2,0,0,0
EVT-00000000236,CUST-0000011,2024-03-15,product_view,mobile,8.23,13,0,0,0
EVT-00000000237,CUST-0000011,2024-11-02,page_view,mobile,3.03,9,1,0,0
EVT-00000000238,CUST-0000011,2025-11-12,purchase,desktop,0.2,7,1,1,1
EVT-00000000239,CUST-0000011,2023-12-17,product_view,mobile,5.86,12,0,0,0
EVT-00000000240,CUST-0000011,2024-04-27,add_to_cart,mobile,7.87,12,1,0,0
EVT-00000000241,CUST-0000011,2023-10-02,page_view,mobile,7.3,8,0,0,0
EVT-00000000242,CUST-0000011,2023-12-18,product_view,mobile,2.21,6,0,0,0
EVT-00000000243,CUST-0000011,2024-01-01,product_view,mobile,5.23,3,0,0,0
EVT-00000000244,CUST-0000011,2023-09-01,product_view,mobile,9.93,6,0,0,0
EVT-00000000245,CUST-0000011,2023-08-07,page_view,mobile,3.2,8,0,0,0
EVT-00000000246,CUST-0000011,2023-08-06,add_to_cart,mobile,0.2,13,1,1,1
EVT-00000000247,CUST-0000011,2024-08-05,page_view,mobile,6.26,10,0,0,0
EVT-00000000248,CUST-0000011,2023-10-13,checkout_start,mobile,3.74,2,1,1,0
EVT-00000000249,CUST-0000012,2023-03-25,purchase,mobile,2.68,5,1,1,1
EVT-00000000250,CUST-0000012,2023-11-08,page_view,desktop,10.0,4,0,0,0
EVT-00000000251,CUST-0000012,2024-10-12,wishlist,mobile,4.27,1,0,0,0
EVT-00000000252,CUST-0000012,2025-07-12,app_open,mobile,6.18,6,0,0,0
EVT-00000000253,CUST-0000012,2025-01-01,checkout_start,desktop,5.91,8,1,1,0
EVT-00000000254,CUST-0000012,2025-07-24,checkout_start,mobile,1.99,1,1,1,0
EVT-00000000255,CUST-0000012,2023-02-24,wishlist,mobile,2.97,1,0,0,0
EVT-00000000256,CUST-0000013,2023-01-11,checkout_start,desktop,7.07,10,1,1,0
EVT-00000000257,CUST-0000013,2023-08-09,wishlist,mobile,5.08,15,0,0,0
EVT-00000000258,CUST-0000013,2025-09-12,add_to_cart,tablet,7.25,8,1,0,0
EVT-00000000259,CUST-0000013,2024-05-26,page_view,mobile,8.13,1,0,0,0
EVT-00000000260,CUST-0000013,2025-07-22,app_open,mobile,5.48,4,0,0,0
EVT-00000000261,CUST-0000013,2023-04-20,product_view,mobile,3.51,7,0,0,0
EVT-00000000262,CUST-0000013,2023-05-08,campaign_click,tablet,6.05,16,0,0,0
EVT-00000000263,CUST-0000013,2024-11-14,checkout_start,desktop,6.64,6,1,1,0
EVT-00000000264,CUST-0000013,2024-02-07,add_to_cart,desktop,0.2,2,1,1,0
EVT-00000000265,CUST-0000013,2024-03-27,add_to_cart,mobile,5.43,1,1,1,0
EVT-00000000266,CUST-0000013,2023-05-04,wishlist,desktop,2.64,8,0,0,0
EVT-00000000267,CUST-0000013,2023-07-18,add_to_cart,mobile,2.23,15,1,1,0
EVT-00000000268,CUST-0000014,2024-02-18,checkout_start,mobile,5.03,11,1,1,0
EVT-00000000269,CUST-0000014,2023-10-27,product_view,mobile,4.3,7,0,0,0
EVT-00000000270,CUST-0000014,2025-09-06,product_view,mobile,7.13,1,0,0,0
EVT-00000000271,CUST-0000014,2024-04-10,checkout_start,mobile,3.88,7,1,1,0
EVT-00000000272,CUST-0000014,2024-11-03,product_view,mobile,8.0,3,0,0,0
EVT-00000000273,CUST-0000014,2023-06-25,checkout_start,mobile,3.64,7,1,1,0
EVT-00000000274,CUST-0000014,2023-07-13,campaign_click,mobile,5.24,2,0,0,0
EVT-00000000275,CUST-0000014,2023-11-11,product_view,desktop,3.41,4,0,0,0
EVT-00000000276,CUST-0000014,2025-03-28,page_view,mobile,3.56,9,0,0,0
EVT-00000000277,CUST-0000014,2024-05-20,page_view,mobile,4.61,11,0,0,0
EVT-00000000278,CUST-0000014,2025-09-19,page_view,mobile,5.04,12,0,0,0
EVT-00000000279,CUST-0000014,2024-04-20,page_view,mobile,5.54,10,0,0,0
EVT-00000000280,CUST-0000014,2024-07-28,add_to_cart,tablet,5.49,13,1,0,0
EVT-00000000281,CUST-0000015,2025-06-04,product_view,desktop,8.87,5,1,0,0
EVT-00000000282,CUST-0000015,2025-01-28,page_view,mobile,7.09,11,1,0,0
EVT-00000000283,CUST-0000015,2025-09-12,page_view,mobile,2.27,8,0,0,0
EVT-00000000284,CUST-0000015,2024-04-24,product_view,mobile,8.43,3,0,0,0
EVT-00000000285,CUST-0000015,2025-02-03,wishlist,mobile,4.8,11,0,0,0
EVT-00000000286,CUST-0000015,2024-04-08,product_view,mobile,5.98,8,0,0,0
EVT-00000000287,CUST-0000015,2025-08-17,add_to_cart,mobile,1.59,5,1,1,0
EVT-00000000288,CUST-0000015,2024-09-22,page_view,mobile,6.29,8,0,0,0
EVT-00000000289,CUST-0000015,2025-04-23,add_to_cart,mobile,10.96,10,1,1,1
EVT-00000000290,CUST-0000015,2024-01-12,product_view,desktop,4.09,2,1,0,0
EVT-00000000291,CUST-0000015,2023-04-11,app_open,mobile,9.21,4,0,0,0
EVT-00000000292,CUST-0000015,2025-01-28,checkout_start,mobile,9.06,9,1,1,0
EVT-00000000293,CUST-0000015,2023-04-13,page_view,mobile,6.05,4,0,0,0
EVT-00000000294,CUST-0000015,2024-12-10,page_view,mobile,11.03,9,0,0,0
EVT-00000000295,CUST-0000015,2025-10-08,page_view,mobile,7.07,7,1,0,0
EVT-00000000296,CUST-0000015,2023-06-13,product_view,desktop,12.65,1,0,0,0
EVT-00000000297,CUST-0000015,2023-05-27,page_view,mobile,4.01,15,0,0,0
EVT-00000000298,CUST-0000015,2024-01-15,product_view,mobile,8.36,6,1,1,0
EVT-00000000299,CUST-0000015,2025-07-11,app_open,mobile,9.87,4,0,0,0
EVT-00000000300,CUST-0000015,2024-02-23,page_view,mobile,8.05,10,1,0,0
EVT-00000000301,CUST-0000015,2025-05-27,app_open,desktop,1.22,10,1,1,0
EVT-00000000302,CUST-0000015,2024-02-02,app_open,mobile,5.26,6,0,0,0
EVT-00000000303,CUST-0000015,2024-03-10,app_open,mobile,2.56,8,0,0,0
EVT-00000000304,CUST-0000015,2025-10-15,app_open,mobile,4.52,14,0,0,0
EVT-00000000305,CUST-0000015,2024-03-20,page_view,mobile,10.44,6,1,0,0
EVT-00000000306,CUST-0000015,2024-01-26,page_view,mobile,5.68,6,0,0,0
EVT-00000000307,CUST-0000015,2023-01-18,page_view,mobile,7.45,5,1,1,0
EVT-00000000308,CUST-0000015,2023-02-04,add_to_cart,mobile,9.45,9,1,0,0
EVT-00000000309,CUST-0000015,2023-03-30,page_view,mobile,9.09,12,0,0,0
EVT-00000000310,CUST-0000015,2024-04-23,page_view,tablet,7.37,4,0,0,0
