order_id,customer_id,order_date,channel,order_status,gross_amount,discount_amount,net_amount,payment_method,shipping_type,shipping_cost,delivery_days,return_flag
ORD-000000075,CUST-0000021,2023-03-12,app,delivered,805.5,82.13,723.37,pix,pickup,0.0,3,0
ORD-000000076,CUST-0000021,2024-01-16,app,delivered,535.76,72.34,463.42,credit_card,standard,15.11,2,0
ORD-000000077,CUST-0000021,2024-07-15,store,delivered,1174.36,172.52,1001.84,credit_card,pickup,0.0,0,0
ORD-000000078,CUST-0000021,2025-02-12,store,delivered,719.27,23.17,696.1,pix,pickup,0.0,0,0
ORD-000000079,CUST-0000021,2025-12-25,store,delivered,1754.69,138.73,1615.96,credit_card,pickup,0.0,0,0
ORD-000000080,CUST-0000022,2024-01-13,store,delivered,1965.11,108.45,1856.66,wallet,pickup,0.0,0,0
ORD-000000081,CUST-0000022,2024-02-24,ecommerce,delivered,323.9,0.0,323.9,credit_card,pickup,0.0,2,0
ORD-000000082,CUST-0000022,2025-01-30,ecommerce,delivered,2257.46,190.57,2066.89,credit_card,standard,21.19,9,0
ORD-000000083,CUST-0000022,2025-09-10,ecommerce,delivered,1310.38,166.52,1143.86,credit_card,express,7.34,2,0
ORD-000000084,CUST-0000023,2025-08-11,ecommerce,delivered,673.83,184.36,489.47,credit_card,standard,14.61,5,0
ORD-000000085,CUST-0000024,2025-09-16,ecommerce,delivered,1127.41,184.76,942.65,credit_card,standard,9.36,7,0
ORD-000000086,CUST-0000025,2023-12-27,store,delivered,320.6,126.24,194.36,wallet,pickup,0.0,0,0
ORD-000000087,CUST-0000025,2024-07-04,ecommerce,delivered,383.14,92.51,290.63,credit_card,express,20.09,2,0
ORD-000000088,CUST-0000025,2025-11-19,store,returned,138.84,36.93,101.91,installments,pickup,0.0,0,1
ORD-000000089,CUST-0000026,2024-07-06,app,cancelled,1636.25,104.09,1532.16,credit_card,standard,8.22,4,0
ORD-000000090,CUST-0000026,2024-10-19,app,delivered,162.59,0.0,162.59,credit_card,express,26.65,6,0
ORD-000000091,CUST-0000026,2024-10-25,ecommerce,delivered,665.44,48.65,616.79,credit_card,pickup,0.0,0,0
ORD-000000092,CUST-0000026,2025-02-05,store,cancelled,1520.18,94.48,1425.7,credit_card,pickup,0.0,0,0
ORD-000000093,CUST-0000026,2025-06-02,app,delivered,509.01,33.47,475.54,debit_card,standard,12.6,6,0
ORD-000000094,CUST-0000026,2025-06-21,app,delivered,1175.87,129.6,1046.27,wallet,standard,16.47,4,0
ORD-000000095,CUST-0000026,2025-09-18,ecommerce,delivered,242.85,0.0,242.85,credit_card,standard,10.93,6,0
ORD-000000096,CUST-0000026,2025-09-25,ecommerce,delivered,653.33,33.44,619.89,credit_card,standard,6.0,5,0
ORD-000000097,CUST-0000026,2025-12-21,app,delivered,1714.45,60.49,1653.96,credit_card,standard,5.86,2,0
ORD-000000098,CUST-0000027,2024-06-20,ecommerce,delivered,921.05,276.66,644.39,credit_card,standard,11.41,5,0
ORD-000000099,CUST-0000027,2024-09-15,ecommerce,cancelled,1375.23,318.08,1057.15,credit_card,express,17.72,0,0
ORD-000000100,CUST-0000027,2025-02-04,ecommerce,delivered,728.34,186.77,541.57,credit_card,express,3.4,5,0
ORD-000000101,CUST-0000027,2025-02-28,store,delivered,2441.24,418.9,2022.34,installments,pickup,0.0,0,0
ORD-000000102,CUST-0000027,2025-05-29,ecommerce,delivered,2747.96,736.19,2011.77,credit_card,pickup,0.0,0,0
ORD-000000103,CUST-0000027,2025-06-21,store,delivered,1074.21,287.92,786.29,credit_card,pickup,0.0,0,0
ORD-000000104,CUST-0000027,2025-11-10,ecommerce,delivered,1539.44,254.37,1285.07,credit_card,pickup,0.0,0,0
ORD-000000105,CUST-0000028,2024-01-03,ecommerce,delivered,639.76,17.26,622.5,debit_card,standard,3.76,2,0
ORD-000000106,CUST-0000028,2024-06-01,store,delivered,785.75,83.23,702.52,pix,pickup,0.0,0,0
ORD-000000107,CUST-0000028,2024-06-07,app,delivered,1462.42,100.19,1362.23,wallet,pickup,0.0,0,0
ORD-000000108,CUST-0000028,2024-07-01,app,delivered,650.76,59.43,591.33,installments,standard,13.54,5,0
ORD-000000109,CUST-0000028,2024-08-13,ecommerce,cancelled,1738.9,75.74,1663.16,debit_card,pickup,2.94,0,0
ORD-000000110,CUST-0000028,2024-08-15,store,delivered,353.87,46.18,307.69,credit_card,pickup,0.0,0,0
ORD-000000111,CUST-0000028,2024-11-02,store,delivered,1026.77,70.25,956.52,installments,pickup,0.0,0,0
ORD-000000112,CUST-0000028,2024-11-04,app,delivered,1108.14,19.88,1088.26,credit_card,express,11.52,2,0
ORD-000000113,CUST-0000028,2024-12-21,store,delivered,689.02,51.75,637.27,credit_card,pickup,0.0,0,0
ORD-000000114,CUST-0000028,2024-12-22,ecommerce,delivered,865.59,47.71,817.88,credit_card,standard,12.57,7,0
ORD-000000115,CUST-0000028,2025-05-21,app,delivered,270.6,26.55,244.05,credit_card,standard,12.3,2,0
ORD-000000116,CUST-0000028,2025-11-30,store,delivered,1121.52,51.93,1069.59,installments,pickup,0.0,0,0
ORD-000000117,CUST-0000029,2025-02-15,store,delivered,1197.73,110.52,1087.21,credit_card,pickup,0.0,0,0
ORD-000000118,CUST-0000029,2025-02-27,app,cancelled,120.02,5.91,114.11,debit_card,standard,12.32,2,0
ORD-000000119,CUST-0000029,2025-04-01,ecommerce,delivered,1445.13,42.21,1402.92,credit_card,express,11.61,4,0
ORD-000000120,CUST-0000029,2025-11-20,store,delivered,1384.86,101.25,1283.61,credit_card,pickup,0.0,0,0
ORD-000000121,CUST-0000030,2023-07-22,app,delivered,1699.55,155.93,1543.62,installments,standard,11.34,10,0
ORD-000000122,CUST-0000030,2023-08-24,app,delivered,739.78,107.39,632.39,wallet,standard,11.68,3,0
ORD-000000123,CUST-0000030,2023-11-29,store,delivered,1325.21,222.03,1103.18,credit_card,pickup,0.0,0,0
ORD-000000124,CUST-0000030,2024-01-03,store,delivered,376.3,60.36,315.94,debit_card,pickup,0.0,0,0
ORD-000000125,CUST-0000030,2024-01-28,ecommerce,delivered,1342.35,157.9,1184.45,installments,standard,22.79,10,0
ORD-000000126,CUST-0000030,2024-10-29,store,delivered,1202.51,99.35,1103.16,installments,pickup,0.0,0,0
ORD-000000127,CUST-0000030,2025-09-04,ecommerce,delivered,2708.23,266.35,2441.88,credit_card,standard,22.25,3,0
ORD-000000128,CUST-0000030,2025-10-20,ecommerce,delivered,1572.51,186.18,1386.33,credit_card,standard,12.06,4,0
ORD-000000129,CUST-0000030,2025-11-07,ecommerce,delivered,2216.14,178.47,2037.67,credit_card,express,18.82,3,0
ORD-000000130,CUST-0000030,2025-12-16,ecommerce,delivered,1635.09,157.02,1478.07,pix,standard,20.13,9,0
ORD-000000131,CUST-0000031,2023-10-12,store,delivered,425.74,15.88,409.86,credit_card,pickup,0.0,0,0
ORD-000000132,CUST-0000031,2024-05-05,store,delivered,1434.82,248.38,1186.44,credit_card,pickup,0.0,0,0
ORD-000000133,CUST-0000031,2024-10-07,store,delivered,619.46,72.06,547.4,credit_card,pickup,0.0,0,0
ORD-000000134,CUST-0000031,2024-11-14,app,cancelled,361.48,59.85,301.63,credit_card,pickup,7.16,0,0
ORD-000000135,CUST-0000031,2025-11-02,store,delivered,898.37,18.03,880.34,installments,pickup,0.0,0,0
ORD-000000136,CUST-0000032,2025-10-03,ecommerce,delivered,402.6,65.4,337.2,credit_card,standard,22.52,8,0
ORD-000000137,CUST-0000033,2023-05-05,app,delivered,911.39,272.26,639.13,pix,standard,10.13,5,0
ORD-000000138,CUST-0000033,2023-06-07,app,delivered,1003.86,271.12,732.74,installments,standard,8.59,6,0
ORD-000000139,CUST-0000033,2025-11-18,ecommerce,delivered,733.75,52.88,680.87,pix,standard,10.26,9,0
ORD-000000140,CUST-0000034,2023-09-26,app,delivered,1421.54,298.91,1122.63,credit_card,standard,7.42,8,0
ORD-000000141,CUST-0000034,2024-01-29,store,delivered,1681.2,399.44,1281.76,credit_card,pickup,0.0,0,0
ORD-000000142,CUST-0000034,2024-12-07,ecommerce,delivered,207.0,46.48,160.52,credit_card,express,15.89,2,0
ORD-000000143,CUST-0000034,2025-10-18,ecommerce,delivered,1843.58,372.48,1471.1,credit_card,express,16.18,2,0
ORD-000000144,CUST-0000034,2025-12-23,app,delivered,81.31,15.84,65.47,installments,standard,10.53,5,0
ORD-000000145,CUST-0000035,2024-03-06,ecommerce,returned,1441.16,257.63,1183.53,credit_card,express,13.11,2,1
ORD-000000146,CUST-0000035,2024-04-01,ecommerce,delivered,500.74,106.42,394.32,credit_card,standard,15.99,8,0
ORD-000000147,CUST-0000035,2024-10-19,store,cancelled,832.71,187.16,645.55,credit_card,pickup,0.0,0,0
ORD-000000148,CUST-0000035,2025-01-26,store,delivered,2120.17,534.06,1586.11,credit_card,pickup,0.0,0,0
ORD-000000149,CUST-0000035,2025-02-03,ecommerce,delivered,1304.6,91.39,1213.21,credit_card,pickup,0.0,2,0
ORD-000000150,CUST-0000035,2025-03-24,ecommerce,delivered,479.5,117.77,361.73,credit_card,standard,7.29,8,0
ORD-000000151,CUST-0000035,2025-11-09,app,delivered,599.0,71.95,527.05,credit_card,express,23.39,2,0
ORD-000000152,CUST-0000036,2025-06-09,ecommerce,delivered,1489.9,78.53,1411.37,installments,standard,9.94,8,0
ORD-000000153,CUST-0000036,2025-06-22,ecommerce,delivered,906.46,87.11,819.35,credit_card,standard,22.39,4,0
ORD-000000154,CUST-0000036,2025-07-29,app,delivered,619.06,0.0,619.06,credit_card,standard,6.5,4,0
ORD-000000155,CUST-0000036,2025-10-07,store,delivered,2227.68,65.19,2162.49,credit_card,pickup,0.0,0,1
ORD-000000156,CUST-0000037,2024-12-04,ecommerce,delivered,252.26,28.52,223.74,credit_card,standard,9.38,6,0
ORD-000000157,CUST-0000037,2025-01-26,ecommerce,delivered,102.46,8.98,93.48,debit_card,standard,15.95,4,0
ORD-000000158,CUST-0000037,2025-02-18,app,delivered,1204.48,39.1,1165.38,credit_card,standard,19.44,9,0
ORD-000000159,CUST-0000037,2025-05-13,store,cancelled,922.61,58.39,864.22,credit_card,pickup,0.0,0,0
ORD-000000160,CUST-0000037,2025-11-10,app,cancelled,691.24,34.03,657.21,credit_card,express,9.75,6,0
ORD-000000161,CUST-0000038,2023-12-08,app,delivered,1805.72,284.55,1521.17,credit_card,standard,6.22,2,0
ORD-000000162,CUST-0000038,2024-03-10,store,delivered,623.81,79.6,544.21,pix,pickup,0.0,0,0
ORD-000000163,CUST-0000038,2024-04-11,app,delivered,1820.58,271.54,1549.04,credit_card,standard,11.32,5,0
ORD-000000164,CUST-0000038,2024-04-16,ecommerce,delivered,569.49,99.59,469.9,credit_card,standard,19.24,7,0
ORD-000000165,CUST-0000038,2025-01-12,ecommerce,delivered,2452.92,148.5,2304.42,credit_card,standard,12.18,0,0
ORD-000000166,CUST-0000038,2025-04-16,store,delivered,2012.86,138.31,1874.55,credit_card,pickup,0.0,0,0
ORD-000000167,CUST-0000038,2025-05-16,ecommerce,delivered,379.01,18.2,360.81,credit_card,pickup,3.17,0,0
ORD-000000168,CUST-0000038,2025-06-20,app,delivered,2208.24,130.27,2077.97,credit_card,standard,11.86,5,0
ORD-000000169,CUST-0000038,2025-07-11,store,returned,208.54,29.31,179.23,credit_card,pickup,0.0,0,1
ORD-000000170,CUST-0000038,2025-10-14,app,delivered,1576.63,165.97,1410.66,credit_card,standard,12.78,8,0
ORD-000000171,CUST-0000039,2025-01-13,store,delivered,1376.38,329.56,1046.82,credit_card,pickup,0.0,0,0
ORD-000000172,CUST-0000039,2025-01-16,ecommerce,delivered,926.82,178.56,748.26,installments,standard,3.02,5,1
ORD-000000173,CUST-0000039,2025-02-18,ecommerce,delivered,1288.57,290.36,998.21,credit_card,standard,8.57,4,0
ORD-000000174,CUST-0000039,2025-04-14,ecommerce,cancelled,2317.75,358.61,1959.14,debit_card,express,21.25,4,1
ORD-000000175,CUST-0000039,2025-06-11,store,delivered,655.16,73.59,581.57,credit_card,pickup,0.0,0,0
ORD-000000176,CUST-0000039,2025-12-15,ecommerce,delivered,215.16,23.36,191.8,credit_card,standard,10.49,5,0
ORD-000000177,CUST-0000040,2024-09-16,ecommerce,delivered,1153.17,75.01,1078.16,installments,express,19.82,0,0
ORD-000000178,CUST-0000040,2025-01-02,store,delivered,2519.7,292.53,2227.17,credit_card,pickup,0.0,0,0
ORD-000000179,CUST-0000040,2025-07-27,store,delivered,2005.35,289.3,1716.05,credit_card,pickup,0.0,0,0
ORD-000000180,CUST-0000040,2025-11-01,app,returned,1142.73,205.25,937.48,credit_card,standard,5.44,6,1
ORD-000000181,CUST-0000040,2025-12-24,ecommerce,delivered,1431.59,218.29,1213.3,credit_card,standard,20.72,6,0
ORD-000000182,CUST-0000041,2025-09-29,ecommerce,delivered,1601.08,333.43,1267.65,credit_card,standard,9.08,4,0
ORD-000000183,CUST-0000042,2025-04-05,ecommerce,delivered,1538.13,261.61,1276.52,wallet,standard,4.46,5,0
ORD-000000184,CUST-0000042,2025-11-26,ecommerce,delivered,197.3,8.09,189.21,pix,pickup,0.0,0,0
ORD-000000185,CUST-0000043,2024-05-08,store,delivered,1611.54,180.1,1431.44,credit_card,pickup,0.0,0,0
ORD-000000186,CUST-0000043,2024-11-02,ecommerce,delivered,1486.32,163.14,1323.18,credit_card,standard,13.68,5,0
ORD-000000187,CUST-0000043,2025-02-02,ecommerce,delivered,685.86,161.43,524.43,credit_card,standard,13.89,4,0
ORD-000000188,CUST-0000043,2025-12-19,store,delivered,2656.44,379.82,2276.62,credit_card,pickup,0.0,0,0
ORD-000000189,CUST-0000044,2024-05-24,app,delivered,1174.21,105.61,1068.6,debit_card,pickup,0.78,0,0
ORD-000000190,CUST-0000044,2025-01-14,ecommerce,delivered,1618.33,297.37,1320.96,debit_card,standard,9.36,5,0
ORD-000000191,CUST-0000044,2025-05-18,ecommerce,delivered,1549.73,155.07,1394.66,credit_card,express,16.28,5,0
ORD-000000192,CUST-0000044,2025-09-03,ecommerce,delivered,953.9,104.12,849.78,pix,standard,16.27,3,0
ORD-000000193,CUST-0000045,2024-11-08,store,delivered,1791.02,430.19,1360.83,installments,pickup,0.0,0,0
ORD-000000194,CUST-0000045,2025-01-26,ecommerce,delivered,803.03,158.21,644.82,pix,standard,11.65,10,0
ORD-000000195,CUST-0000045,2025-03-25,app,returned,254.17,46.35,207.82,credit_card,express,20.9,2,1
ORD-000000196,CUST-0000045,2025-06-30,store,delivered,2216.09,623.98,1592.11,credit_card,pickup,0.0,0,0
ORD-000000197,CUST-0000045,2025-11-15,store,returned,1076.69,325.0,751.69,credit_card,pickup,0.0,0,1
ORD-000000198,CUST-0000046,2024-08-28,store,delivered,565.04,49.31,515.73,pix,pickup,0.0,0,0
ORD-000000199,CUST-0000046,2025-12-25,ecommerce,delivered,1099.66,352.68,746.98,credit_card,standard,10.4,7,0
ORD-000000200,CUST-0000047,2025-01-15,store,delivered,214.72,74.88,139.84,credit_card,pickup,0.0,0,0
ORD-000000201,CUST-0000047,2025-02-12,app,delivered,2351.5,449.2,1902.3,credit_card,standard,13.93,5,0
ORD-000000202,CUST-0000047,2025-03-16,ecommerce,delivered,157.92,29.35,128.57,pix,standard,8.82,5,0
ORD-000000203,CUST-0000047,2025-05-18,app,delivered,786.56,181.13,605.43,credit_card,pickup,0.0,0,0
ORD-000000204,CUST-0000047,2025-12-01,ecommerce,returned,1542.16,516.55,1025.61,credit_card,pickup,0.65,0,1
ORD-000000205,CUST-0000048,2025-06-03,ecommerce,delivered,2028.87,358.21,1670.66,debit_card,standard,9.09,5,0
ORD-000000206,CUST-0000048,2025-07-17,app,delivered,184.73,17.4,167.33,installments,pickup,8.69,0,0
ORD-000000207,CUST-0000048,2025-08-11,app,delivered,177.63,56.39,121.24,credit_card,pickup,0.0,0,0
ORD-000000208,CUST-0000048,2025-09-17,ecommerce,delivered,1842.17,382.29,1459.88,credit_card,standard,15.38,8,0
ORD-000000209,CUST-0000048,2025-10-06,ecommerce,delivered,919.54,232.75,686.79,wallet,pickup,0.0,0,0
ORD-000000210,CUST-0000048,2025-10-25,ecommerce,delivered,781.24,202.35,578.89,credit_card,standard,13.95,6,0
ORD-000000211,CUST-0000048,2025-11-07,store,cancelled,1472.22,347.07,1125.15,credit_card,pickup,0.0,0,0
ORD-000000212,CUST-0000049,2024-09-29,store,returned,790.65,136.21,654.44,credit_card,pickup,0.0,0,1
ORD-000000213,CUST-0000049,2025-12-06,ecommerce,delivered,1169.41,216.81,952.6,credit_card,express,18.98,2,0
ORD-000000214,CUST-0000050,2023-02-01,store,returned,735.45,49.67,685.78,credit_card,pickup,0.0,0,1
ORD-000000215,CUST-0000050,2023-05-20,store,returned,1335.53,88.6,1246.93,credit_card,pickup,0.0,0,1
ORD-000000216,CUST-0000050,2024-01-17,store,delivered,176.55,24.12,152.43,credit_card,pickup,0.0,0,0
ORD-000000217,CUST-0000050,2024-02-08,app,returned,188.32,11.16,177.16,debit_card,standard,13.65,3,1
ORD-000000218,CUST-0000050,2025-12-12,ecommerce,returned,407.51,21.43,386.08,credit_card,standard,13.53,2,1
ORD-000000219,CUST-0000051,2023-12-17,store,cancelled,1115.04,56.85,1058.19,pix,pickup,0.0,0,0
ORD-000000220,CUST-0000051,2024-01-07,ecommerce,delivered,728.72,28.19,700.53,credit_card,express,14.35,3,0
ORD-000000221,CUST-0000051,2024-02-03,ecommerce,delivered,102.69,12.33,90.36,credit_card,standard,6.14,4,0
ORD-000000222,CUST-0000051,2024-06-15,ecommerce,delivered,1710.44,101.0,1609.44,credit_card,standard,8.08,8,0
ORD-000000223,CUST-0000051,2024-08-07,ecommerce,delivered,155.38,17.84,137.54,installments,standard,13.85,4,0
ORD-000000224,CUST-0000051,2024-12-08,store,returned,1073.59,126.45,947.14,credit_card,pickup,0.0,0,1
ORD-000000225,CUST-0000051,2024-12-17,ecommerce,delivered,100.58,9.73,90.85,credit_card,standard,14.63,10,0
ORD-000000226,CUST-0000051,2025-09-10,ecommerce,delivered,1343.42,55.17,1288.25,debit_card,standard,14.77,8,0
ORD-000000227,CUST-0000051,2025-10-03,app,returned,1002.78,66.55,936.23,credit_card,standard,14.39,6,1
ORD-000000228,CUST-0000052,2023-05-12,app,delivered,345.89,20.71,325.18,credit_card,standard,14.86,5,0
ORD-000000229,CUST-0000052,2023-06-10,ecommerce,delivered,387.14,75.29,311.85,credit_card,pickup,1.45,0,0
ORD-000000230,CUST-0000052,2023-08-16,ecommerce,delivered,858.07,57.01,801.06,credit_card,standard,10.28,7,0
ORD-000000231,CUST-0000052,2024-03-16,ecommerce,delivered,806.63,40.59,766.04,credit_card,express,16.08,2,0
ORD-000000232,CUST-0000052,2024-08-02,ecommerce,delivered,356.04,0.0,356.04,credit_card,express,22.3,3,0
