interaction_id,customer_id,interaction_date,channel,interaction_type,response_flag,conversion_flag,campaign_id,message_theme
INT-000000085,CUST-0000008,2023-10-03,push,upsell,0,0,CAMP-000008,bundle
INT-000000086,CUST-0000008,2025-09-06,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000087,CUST-0000008,2025-10-07,sms,upsell,0,0,CAMP-000017,discount
INT-000000088,CUST-0000009,2023-05-19,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000089,CUST-0000009,2024-10-03,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000090,CUST-0000009,2024-04-20,sms,loyalty,1,0,CAMP-000020,exclusive_access
INT-000000091,CUST-0000009,2023-06-04,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000092,CUST-0000009,2025-10-22,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000093,CUST-0000009,2024-08-10,email,loyalty,1,0,CAMP-000011,early_access
INT-000000094,CUST-0000009,2025-09-05,email,retention,1,0,CAMP-000001,exclusive_access
INT-000000095,CUST-0000009,2023-03-17,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000096,CUST-0000009,2023-01-15,push,reactivation,0,0,CAMP-000019,bundle
INT-000000097,CUST-0000010,2023-03-14,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000098,CUST-0000010,2024-01-30,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000099,CUST-0000010,2025-01-07,email,retention,0,0,CAMP-000014,discount
INT-000000100,CUST-0000010,2024-08-08,email,loyalty,0,0,CAMP-000011,early_access
INT-000000101,CUST-0000010,2025-08-15,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000102,CUST-0000010,2024-05-04,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000103,CUST-0000010,2023-09-15,email,conversion,0,0,CAMP-000006,bundle
INT-000000104,CUST-0000010,2023-09-25,push,upsell,1,0,CAMP-000010,discount
INT-000000105,CUST-0000010,2023-10-02,push,upsell,1,0,CAMP-000008,bundle
INT-000000106,CUST-0000010,2024-09-23,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000107,CUST-0000010,2023-05-20,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000108,CUST-0000010,2025-10-22,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000109,CUST-0000010,2023-06-02,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000110,CUST-0000010,2024-04-23,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000111,CUST-0000011,2025-09-06,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000112,CUST-0000011,2023-01-14,push,reactivation,1,0,CAMP-000019,bundle
INT-000000113,CUST-0000011,2024-08-08,email,loyalty,0,0,CAMP-000011,early_access
INT-000000114,CUST-0000011,2023-05-19,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000115,CUST-0000011,2023-09-24,push,upsell,1,0,CAMP-000010,discount
INT-000000116,CUST-0000011,2025-10-22,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000117,CUST-0000011,2023-09-16,email,conversion,0,0,CAMP-000006,bundle
INT-000000118,CUST-0000011,2025-08-14,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000119,CUST-0000011,2023-10-03,push,upsell,1,0,CAMP-000008,bundle
INT-000000120,CUST-0000011,2024-09-30,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000121,CUST-0000011,2025-10-04,sms,upsell,0,0,CAMP-000017,discount
INT-000000122,CUST-0000011,2024-09-23,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000123,CUST-0000011,2024-05-02,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000124,CUST-0000012,2023-09-25,push,upsell,0,0,CAMP-000010,discount
INT-000000125,CUST-0000012,2024-01-31,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000126,CUST-0000012,2025-01-10,email,retention,0,0,CAMP-000014,discount
INT-000000127,CUST-0000012,2024-09-24,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000128,CUST-0000013,2025-05-28,email,cross_sell,0,0,CAMP-000012,discount
INT-000000129,CUST-0000013,2023-09-24,push,upsell,1,0,CAMP-000010,discount
INT-000000130,CUST-0000013,2024-05-04,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000131,CUST-0000013,2024-09-26,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000132,CUST-0000013,2024-04-22,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000133,CUST-0000013,2023-03-14,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000134,CUST-0000013,2023-05-18,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000135,CUST-0000013,2025-08-17,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000136,CUST-0000013,2023-09-16,email,conversion,1,0,CAMP-000006,bundle
INT-000000137,CUST-0000013,2025-10-21,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000138,CUST-0000013,2023-10-03,push,upsell,0,0,CAMP-000008,bundle
INT-000000139,CUST-0000014,2024-04-22,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000140,CUST-0000014,2025-10-23,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000141,CUST-0000014,2025-05-28,email,cross_sell,0,0,CAMP-000012,discount
INT-000000142,CUST-0000014,2024-01-27,in_app,conversion,0,0,CAMP-000015,discount
INT-000000143,CUST-0000014,2025-09-05,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000144,CUST-0000014,2023-06-01,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000145,CUST-0000014,2024-09-30,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000146,CUST-0000014,2023-09-17,email,conversion,1,0,CAMP-000006,bundle
INT-000000147,CUST-0000014,2025-01-10,email,retention,0,0,CAMP-000014,discount
INT-000000148,CUST-0000015,2024-01-26,in_app,conversion,0,0,CAMP-000015,discount
INT-000000149,CUST-0000015,2025-08-16,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000150,CUST-0000015,2025-10-21,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000151,CUST-0000015,2025-09-04,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000152,CUST-0000015,2025-05-31,email,cross_sell,0,0,CAMP-000012,discount
INT-000000153,CUST-0000015,2023-03-17,sms,loyalty,1,0,CAMP-000009,early_access
INT-000000154,CUST-0000015,2023-01-12,push,reactivation,1,0,CAMP-000019,bundle
INT-000000155,CUST-0000015,2023-09-14,email,conversion,0,0,CAMP-000006,bundle
INT-000000156,CUST-0000015,2023-09-25,push,upsell,0,0,CAMP-000010,discount
INT-000000157,CUST-0000015,2025-10-05,sms,upsell,0,0,CAMP-000017,discount
INT-000000158,CUST-0000015,2023-05-20,email,cross_sell,1,0,CAMP-000003,early_access
INT-000000159,CUST-0000015,2024-08-07,email,loyalty,0,0,CAMP-000011,early_access
INT-000000160,CUST-0000015,2024-09-26,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000161,CUST-0000015,2024-01-28,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000162,CUST-0000015,2025-01-08,email,retention,1,0,CAMP-000014,discount
INT-000000163,CUST-0000016,2025-01-09,email,retention,1,0,CAMP-000014,discount
INT-000000164,CUST-0000016,2025-10-23,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000165,CUST-0000016,2024-01-28,in_app,conversion,0,0,CAMP-000015,discount
INT-000000166,CUST-0000016,2024-09-23,push,reactivation,1,0,CAMP-000002,exclusive_access
INT-000000167,CUST-0000016,2023-10-01,push,upsell,0,0,CAMP-000008,bundle
INT-000000168,CUST-0000016,2025-05-31,email,cross_sell,0,0,CAMP-000012,discount
INT-000000169,CUST-0000016,2024-08-09,email,loyalty,0,0,CAMP-000011,early_access
INT-000000170,CUST-0000016,2023-06-01,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000171,CUST-0000016,2023-09-23,push,upsell,0,0,CAMP-000010,discount
INT-000000172,CUST-0000016,2023-09-14,email,conversion,0,0,CAMP-000006,bundle
INT-000000173,CUST-0000016,2024-05-04,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000174,CUST-0000017,2024-09-24,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000175,CUST-0000017,2024-01-26,in_app,conversion,0,0,CAMP-000015,discount
INT-000000176,CUST-0000017,2025-09-05,email,retention,1,0,CAMP-000001,exclusive_access
INT-000000177,CUST-0000017,2025-01-08,email,retention,0,0,CAMP-000014,discount
INT-000000178,CUST-0000017,2023-09-16,email,conversion,0,0,CAMP-000006,bundle
INT-000000179,CUST-0000017,2024-08-08,email,loyalty,1,0,CAMP-000011,early_access
INT-000000180,CUST-0000017,2023-09-24,push,upsell,0,0,CAMP-000010,discount
INT-000000181,CUST-0000017,2023-05-18,email,cross_sell,1,0,CAMP-000003,early_access
INT-000000182,CUST-0000017,2023-09-30,push,upsell,0,0,CAMP-000008,bundle
INT-000000183,CUST-0000017,2025-10-22,push,cross_sell,1,0,CAMP-000016,early_access
INT-000000184,CUST-0000017,2025-05-30,email,cross_sell,0,0,CAMP-000012,discount
INT-000000185,CUST-0000017,2024-05-01,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000186,CUST-0000017,2025-08-15,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000187,CUST-0000017,2023-01-14,push,reactivation,0,0,CAMP-000019,bundle
INT-000000188,CUST-0000018,2024-04-21,sms,loyalty,1,0,CAMP-000020,exclusive_access
INT-000000189,CUST-0000018,2025-10-20,push,cross_sell,1,1,CAMP-000016,early_access
INT-000000190,CUST-0000018,2023-09-15,email,conversion,1,0,CAMP-000006,bundle
INT-000000191,CUST-0000018,2024-01-29,in_app,conversion,0,0,CAMP-000015,discount
INT-000000192,CUST-0000018,2023-03-16,sms,loyalty,1,0,CAMP-000009,early_access
INT-000000193,CUST-0000018,2023-06-01,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000194,CUST-0000018,2024-05-01,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000195,CUST-0000018,2024-09-26,push,reactivation,1,1,CAMP-000002,exclusive_access
INT-000000196,CUST-0000018,2023-05-18,email,cross_sell,1,0,CAMP-000003,early_access
INT-000000197,CUST-0000018,2024-08-07,email,loyalty,0,0,CAMP-000011,early_access
INT-000000198,CUST-0000018,2024-10-01,in_app,conversion,1,0,CAMP-000005,exclusive_access
INT-000000199,CUST-0000019,2023-01-12,push,reactivation,1,0,CAMP-000019,bundle
INT-000000200,CUST-0000019,2024-09-26,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000201,CUST-0000019,2023-05-19,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000202,CUST-0000019,2023-09-26,push,upsell,0,0,CAMP-000010,discount
INT-000000203,CUST-0000019,2025-08-17,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000204,CUST-0000019,2025-09-04,email,retention,1,0,CAMP-000001,exclusive_access
INT-000000205,CUST-0000019,2023-09-14,email,conversion,0,0,CAMP-000006,bundle
INT-000000206,CUST-0000019,2025-10-06,sms,upsell,0,0,CAMP-000017,discount
INT-000000207,CUST-0000019,2024-01-28,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000208,CUST-0000019,2023-06-02,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000209,CUST-0000020,2025-10-23,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000210,CUST-0000020,2025-05-31,email,cross_sell,0,0,CAMP-000012,discount
INT-000000211,CUST-0000020,2025-09-03,email,retention,1,0,CAMP-000001,exclusive_access
INT-000000212,CUST-0000020,2024-08-08,email,loyalty,0,0,CAMP-000011,early_access
INT-000000213,CUST-0000020,2023-09-14,email,conversion,0,0,CAMP-000006,bundle
INT-000000214,CUST-0000020,2025-10-05,sms,upsell,0,0,CAMP-000017,discount
INT-000000215,CUST-0000020,2024-09-24,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000216,CUST-0000020,2023-05-20,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000217,CUST-0000021,2023-05-17,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000218,CUST-0000021,2025-08-14,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000219,CUST-0000021,2024-01-29,in_app,conversion,0,0,CAMP-000015,discount
INT-000000220,CUST-0000021,2024-08-10,email,loyalty,0,0,CAMP-000011,early_access
INT-000000221,CUST-0000021,2025-10-07,sms,upsell,0,0,CAMP-000017,discount
INT-000000222,CUST-0000021,2025-01-10,email,retention,0,0,CAMP-000014,discount
INT-000000223,CUST-0000021,2024-04-20,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000224,CUST-0000021,2023-03-15,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000225,CUST-0000021,2024-10-03,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000226,CUST-0000022,2023-01-14,push,reactivation,0,0,CAMP-000019,bundle
INT-000000227,CUST-0000022,2024-05-04,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000228,CUST-0000022,2024-01-31,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000229,CUST-0000022,2025-09-03,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000230,CUST-0000022,2024-09-24,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000231,CUST-0000022,2023-05-20,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000232,CUST-0000022,2025-10-23,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000233,CUST-0000022,2023-03-14,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000234,CUST-0000022,2025-05-30,email,cross_sell,1,0,CAMP-000012,discount
INT-000000235,CUST-0000022,2024-04-22,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000236,CUST-0000023,2025-01-09,email,retention,0,0,CAMP-000014,discount
INT-000000237,CUST-0000023,2025-08-14,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000238,CUST-0000023,2023-09-30,push,upsell,0,0,CAMP-000008,bundle
INT-000000239,CUST-0000023,2024-09-26,push,reactivation,1,0,CAMP-000002,exclusive_access
INT-000000240,CUST-0000023,2023-03-15,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000241,CUST-0000023,2023-06-04,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000242,CUST-0000023,2025-10-05,sms,upsell,0,0,CAMP-000017,discount
INT-000000243,CUST-0000024,2024-01-29,in_app,conversion,0,0,CAMP-000015,discount
INT-000000244,CUST-0000024,2025-08-15,push,cross_sell,1,0,CAMP-000013,cashback
INT-000000245,CUST-0000024,2023-09-23,push,upsell,0,0,CAMP-000010,discount
INT-000000246,CUST-0000024,2024-04-22,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000247,CUST-0000024,2024-01-28,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000248,CUST-0000024,2024-09-23,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000249,CUST-0000024,2025-10-04,sms,upsell,0,0,CAMP-000017,discount
INT-000000250,CUST-0000024,2024-10-02,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000251,CUST-0000024,2025-10-21,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000252,CUST-0000024,2024-05-02,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000253,CUST-0000024,2025-09-06,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000254,CUST-0000024,2023-09-16,email,conversion,0,0,CAMP-000006,bundle
INT-000000255,CUST-0000025,2024-08-08,email,loyalty,0,0,CAMP-000011,early_access
INT-000000256,CUST-0000025,2025-05-30,email,cross_sell,0,0,CAMP-000012,discount
INT-000000257,CUST-0000025,2023-10-03,push,upsell,0,0,CAMP-000008,bundle
INT-000000258,CUST-0000025,2024-04-21,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000259,CUST-0000025,2023-09-23,push,upsell,0,0,CAMP-000010,discount
INT-000000260,CUST-0000025,2023-01-13,push,reactivation,0,0,CAMP-000019,bundle
INT-000000261,CUST-0000025,2025-10-04,sms,upsell,0,0,CAMP-000017,discount
INT-000000262,CUST-0000025,2023-06-02,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000263,CUST-0000025,2024-01-30,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000264,CUST-0000026,2025-05-28,email,cross_sell,0,0,CAMP-000012,discount
INT-000000265,CUST-0000026,2025-10-20,push,cross_sell,1,0,CAMP-000016,early_access
INT-000000266,CUST-0000026,2023-01-13,push,reactivation,0,0,CAMP-000019,bundle
INT-000000267,CUST-0000026,2023-09-26,push,upsell,0,0,CAMP-000010,discount
INT-000000268,CUST-0000026,2024-09-24,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000269,CUST-0000026,2023-05-20,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000270,CUST-0000026,2024-05-04,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000271,CUST-0000026,2025-01-10,email,retention,1,0,CAMP-000014,discount
INT-000000272,CUST-0000026,2024-08-08,email,loyalty,1,0,CAMP-000011,early_access
INT-000000273,CUST-0000026,2023-03-14,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000274,CUST-0000026,2025-10-05,sms,upsell,0,0,CAMP-000017,discount
INT-000000275,CUST-0000026,2024-10-01,in_app,conversion,1,0,CAMP-000005,exclusive_access
INT-000000276,CUST-0000026,2024-01-31,email,loyalty,1,0,CAMP-000018,exclusive_access
INT-000000277,CUST-0000027,2024-04-23,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000278,CUST-0000027,2024-01-31,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000279,CUST-0000027,2023-09-15,email,conversion,0,0,CAMP-000006,bundle
INT-000000280,CUST-0000027,2024-01-29,in_app,conversion,0,0,CAMP-000015,discount
INT-000000281,CUST-0000027,2024-05-02,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000282,CUST-0000027,2023-01-13,push,reactivation,0,0,CAMP-000019,bundle
INT-000000283,CUST-0000027,2025-10-21,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000284,CUST-0000027,2023-06-03,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000285,CUST-0000027,2023-05-20,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000286,CUST-0000027,2023-10-01,push,upsell,0,0,CAMP-000008,bundle
INT-000000287,CUST-0000027,2023-03-15,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000288,CUST-0000027,2023-09-26,push,upsell,1,0,CAMP-000010,discount
INT-000000289,CUST-0000027,2024-09-24,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000290,CUST-0000028,2023-05-17,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000291,CUST-0000028,2024-09-30,in_app,conversion,1,0,CAMP-000005,exclusive_access
INT-000000292,CUST-0000028,2024-05-03,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000293,CUST-0000028,2025-10-06,sms,upsell,0,0,CAMP-000017,discount
INT-000000294,CUST-0000028,2023-09-26,push,upsell,0,0,CAMP-000010,discount
INT-000000295,CUST-0000028,2024-09-23,push,reactivation,1,0,CAMP-000002,exclusive_access
INT-000000296,CUST-0000028,2023-01-14,push,reactivation,0,0,CAMP-000019,bundle
INT-000000297,CUST-0000028,2023-09-15,email,conversion,0,0,CAMP-000006,bundle
INT-000000298,CUST-0000028,2024-01-28,in_app,conversion,1,0,CAMP-000015,discount
INT-000000299,CUST-0000028,2023-06-03,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000300,CUST-0000029,2025-01-09,email,retention,0,0,CAMP-000014,discount
INT-000000301,CUST-0000029,2025-10-20,push,cross_sell,1,0,CAMP-000016,early_access
INT-000000302,CUST-0000029,2025-08-17,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000303,CUST-0000029,2024-05-03,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000304,CUST-0000029,2023-10-02,push,upsell,0,0,CAMP-000008,bundle
